"YEAR","ALL_CONTRIBUTORS","ALL_CONTRIBUTIONS","UNAFFILIATED_CONTRIBUTORS","UNAFFILIATED_CONTRIBUTIONS","PERCENT_UNAFFILIATED_CONTRIBUTORS","PERCENT_UNAFFILIATED_CONTRIBUTIONS"
"2024-01-01","94732","6078291","52121","449622","55.019400","7.397200"
"2024-07-23","496863","35220617","370569","7961833","74.581700","22.605600"
